;Not sorted array;;BubbleSort;;SelectionSort;;InsertSort;;ShellSort;;QuickSort
;6868;;3;;3;;3;;3;;3
;5547;;3;;3;;3;;3;;3
;7644;;4;;4;;4;;4;;4
;2662;;4;;4;;4;;4;;4
;2757;;4;;4;;4;;4;;4
;37;;4;;4;;4;;4;;4
;2859;;4;;4;;4;;4;;4
;8723;;4;;4;;4;;4;;4
;9741;;4;;4;;4;;4;;4
;7529;;4;;4;;4;;4;;4
;778;;4;;4;;4;;4;;4
;2316;;4;;4;;4;;4;;4
;3035;;4;;4;;4;;4;;4
;2190;;5;;5;;5;;5;;5
;1842;;5;;5;;5;;5;;5
;288;;5;;5;;5;;5;;5
;106;;5;;5;;5;;5;;5
;9040;;5;;5;;5;;5;;5
;8942;;5;;5;;5;;5;;5
;9264;;5;;5;;5;;5;;5
;2648;;5;;5;;5;;5;;5
;7446;;5;;5;;5;;5;;5
;3805;;5;;5;;5;;5;;5
;5890;;5;;5;;5;;5;;5
;6729;;5;;5;;5;;5;;5
;4370;;5;;5;;5;;5;;5
;5350;;5;;5;;5;;5;;5
;5006;;5;;5;;5;;5;;5
;1101;;5;;5;;5;;5;;5
;4393;;5;;5;;5;;5;;5
;3548;;6;;6;;6;;6;;6
;9629;;6;;6;;6;;6;;6
;2623;;6;;6;;6;;6;;6
;4084;;6;;6;;6;;6;;6
;9954;;6;;6;;6;;6;;6
;8756;;6;;6;;6;;6;;6
;1840;;6;;6;;6;;6;;6
;4966;;6;;6;;6;;6;;6
;7376;;6;;6;;6;;6;;6
;3931;;6;;6;;6;;6;;6
;6308;;6;;6;;6;;6;;6
;6944;;6;;6;;6;;6;;6
;2439;;6;;6;;6;;6;;6
;4626;;6;;6;;6;;6;;6
;1323;;7;;7;;7;;7;;7
;5537;;7;;7;;7;;7;;7
;1538;;7;;7;;7;;7;;7
;6118;;7;;7;;7;;7;;7
;2082;;7;;7;;7;;7;;7
;2929;;7;;7;;7;;7;;7
;6541;;7;;7;;7;;7;;7
;4833;;7;;7;;7;;7;;7
;1115;;7;;7;;7;;7;;7
;4639;;7;;7;;7;;7;;7
;9658;;7;;7;;7;;7;;7
;2704;;8;;8;;8;;8;;8
;9930;;8;;8;;8;;8;;8
;3977;;8;;8;;8;;8;;8
;2306;;8;;8;;8;;8;;8
;1673;;8;;8;;8;;8;;8
;2386;;8;;8;;8;;8;;8
;5021;;8;;8;;8;;8;;8
;8745;;8;;8;;8;;8;;8
;6924;;8;;8;;8;;8;;8
;9072;;8;;8;;8;;8;;8
;6270;;8;;8;;8;;8;;8
;5829;;8;;8;;8;;8;;8
;6777;;9;;9;;9;;9;;9
;5573;;9;;9;;9;;9;;9
;5097;;9;;9;;9;;9;;9
;6512;;9;;9;;9;;9;;9
;3986;;9;;9;;9;;9;;9
;3290;;9;;9;;9;;9;;9
;9161;;9;;9;;9;;9;;9
;8636;;9;;9;;9;;9;;9
;2355;;9;;9;;9;;9;;9
;4767;;9;;9;;9;;9;;9
;3655;;9;;9;;9;;9;;9
;5574;;9;;9;;9;;9;;9
;4031;;9;;9;;9;;9;;9
;2052;;10;;10;;10;;10;;10
;7350;;10;;10;;10;;10;;10
;1150;;10;;10;;10;;10;;10
;6941;;10;;10;;10;;10;;10
;1724;;10;;10;;10;;10;;10
;3966;;10;;10;;10;;10;;10
;3430;;10;;10;;10;;10;;10
;1107;;10;;10;;10;;10;;10
;191;;10;;10;;10;;10;;10
;8007;;10;;10;;10;;10;;10
;1337;;10;;10;;10;;10;;10
;5457;;10;;10;;10;;10;;10
;2287;;11;;11;;11;;11;;11
;7753;;11;;11;;11;;11;;11
;383;;11;;11;;11;;11;;11
;4945;;11;;11;;11;;11;;11
;8909;;11;;11;;11;;11;;11
;2209;;11;;11;;11;;11;;11
;9758;;11;;11;;11;;11;;11
;4221;;11;;11;;11;;11;;11
;8588;;11;;11;;11;;11;;11
;6422;;11;;11;;11;;11;;11
;4946;;11;;11;;11;;11;;11
;7506;;11;;11;;11;;11;;11
;3030;;12;;12;;12;;12;;12
;6413;;12;;12;;12;;12;;12
;9168;;12;;12;;12;;12;;12
;900;;12;;12;;12;;12;;12
;2591;;12;;12;;12;;12;;12
;8762;;12;;12;;12;;12;;12
;1655;;12;;12;;12;;12;;12
;7410;;13;;13;;13;;13;;13
;6359;;13;;13;;13;;13;;13
;7624;;13;;13;;13;;13;;13
;537;;13;;13;;13;;13;;13
;1548;;13;;13;;13;;13;;13
;6483;;13;;13;;13;;13;;13
;7595;;13;;13;;13;;13;;13
;4041;;13;;13;;13;;13;;13
;3602;;13;;13;;13;;13;;13
;4350;;13;;13;;13;;13;;13
;291;;14;;14;;14;;14;;14
;836;;14;;14;;14;;14;;14
;9374;;14;;14;;14;;14;;14
;1020;;14;;14;;14;;14;;14
;4596;;14;;14;;14;;14;;14
;4021;;14;;14;;14;;14;;14
;7348;;14;;14;;14;;14;;14
;3199;;14;;14;;14;;14;;14
;9668;;14;;14;;14;;14;;14
;4484;;14;;14;;14;;14;;14
;8281;;14;;14;;14;;14;;14
;4734;;14;;14;;14;;14;;14
;53;;14;;14;;14;;14;;14
;1999;;15;;15;;15;;15;;15
;6418;;15;;15;;15;;15;;15
;7938;;15;;15;;15;;15;;15
;6900;;15;;15;;15;;15;;15
;3788;;15;;15;;15;;15;;15
;8127;;15;;15;;15;;15;;15
;467;;15;;15;;15;;15;;15
;3728;;15;;15;;15;;15;;15
;4893;;15;;15;;15;;15;;15
;4648;;15;;15;;15;;15;;15
;2483;;15;;15;;15;;15;;15
;7807;;15;;15;;15;;15;;15
;2421;;15;;15;;15;;15;;15
;4310;;16;;16;;16;;16;;16
;6617;;16;;16;;16;;16;;16
;2813;;16;;16;;16;;16;;16
;9514;;16;;16;;16;;16;;16
;4309;;16;;16;;16;;16;;16
;7616;;16;;16;;16;;16;;16
;8935;;16;;16;;16;;16;;16
;7451;;16;;16;;16;;16;;16
;600;;16;;16;;16;;16;;16
;5249;;16;;16;;16;;16;;16
;6519;;16;;16;;16;;16;;16
;1556;;16;;16;;16;;16;;16
;2798;;17;;17;;17;;17;;17
;303;;17;;17;;17;;17;;17
;6224;;17;;17;;17;;17;;17
;1008;;17;;17;;17;;17;;17
;5844;;17;;17;;17;;17;;17
;2609;;17;;17;;17;;17;;17
;4989;;17;;17;;17;;17;;17
;2702;;17;;17;;17;;17;;17
;3195;;17;;17;;17;;17;;17
;485;;17;;17;;17;;17;;17
;3093;;18;;18;;18;;18;;18
;4343;;18;;18;;18;;18;;18
;523;;18;;18;;18;;18;;18
;1587;;18;;18;;18;;18;;18
;9314;;18;;18;;18;;18;;18
;9503;;18;;18;;18;;18;;18
;7448;;18;;18;;18;;18;;18
;5200;;18;;18;;18;;18;;18
;3458;;18;;18;;18;;18;;18
;6618;;18;;18;;18;;18;;18
;580;;18;;18;;18;;18;;18
;9796;;18;;18;;18;;18;;18
;4798;;19;;19;;19;;19;;19
;5281;;19;;19;;19;;19;;19
;9589;;19;;19;;19;;19;;19
;798;;19;;19;;19;;19;;19
;8009;;19;;19;;19;;19;;19
;7157;;19;;19;;19;;19;;19
;472;;19;;19;;19;;19;;19
;3622;;19;;19;;19;;19;;19
;8538;;19;;19;;19;;19;;19
;2292;;19;;19;;19;;19;;19
;6038;;19;;19;;19;;19;;19
;4179;;20;;20;;20;;20;;20
;8190;;20;;20;;20;;20;;20
;9657;;20;;20;;20;;20;;20
;7958;;20;;20;;20;;20;;20
;6191;;20;;20;;20;;20;;20
;9815;;20;;20;;20;;20;;20
;2888;;20;;20;;20;;20;;20
;9156;;20;;20;;20;;20;;20
;1511;;20;;20;;20;;20;;20
;6202;;20;;20;;20;;20;;20
;2634;;20;;20;;20;;20;;20
;4272;;20;;20;;20;;20;;20
;55;;20;;20;;20;;20;;20
;328;;21;;21;;21;;21;;21
;2646;;21;;21;;21;;21;;21
;6362;;21;;21;;21;;21;;21
;4886;;21;;21;;21;;21;;21
;8875;;21;;21;;21;;21;;21
;8433;;21;;21;;21;;21;;21
;9869;;21;;21;;21;;21;;21
;142;;21;;21;;21;;21;;21
;3844;;21;;21;;21;;21;;21
;1416;;21;;21;;21;;21;;21
;1881;;21;;21;;21;;21;;21
;1998;;21;;21;;21;;21;;21
;322;;22;;22;;22;;22;;22
;8651;;22;;22;;22;;22;;22
;21;;22;;22;;22;;22;;22
;5699;;22;;22;;22;;22;;22
;3557;;22;;22;;22;;22;;22
;8476;;22;;22;;22;;22;;22
;7892;;22;;22;;22;;22;;22
;4389;;22;;22;;22;;22;;22
;5075;;23;;23;;23;;23;;23
;712;;23;;23;;23;;23;;23
;2600;;23;;23;;23;;23;;23
;2510;;23;;23;;23;;23;;23
;1003;;23;;23;;23;;23;;23
;6869;;23;;23;;23;;23;;23
;7861;;23;;23;;23;;23;;23
;4688;;23;;23;;23;;23;;23
;3401;;23;;23;;23;;23;;23
;9789;;24;;24;;24;;24;;24
;5255;;24;;24;;24;;24;;24
;6423;;24;;24;;24;;24;;24
;5002;;24;;24;;24;;24;;24
;585;;24;;24;;24;;24;;24
;4182;;24;;24;;24;;24;;24
;285;;24;;24;;24;;24;;24
;7088;;24;;24;;24;;24;;24
;1426;;24;;24;;24;;24;;24
;8617;;24;;24;;24;;24;;24
;3757;;24;;24;;24;;24;;24
;9832;;24;;24;;24;;24;;24
;932;;24;;24;;24;;24;;24
;4169;;24;;24;;24;;24;;24
;2154;;25;;25;;25;;25;;25
;5721;;25;;25;;25;;25;;25
;7189;;25;;25;;25;;25;;25
;9976;;25;;25;;25;;25;;25
;1329;;25;;25;;25;;25;;25
;2368;;25;;25;;25;;25;;25
;8692;;25;;25;;25;;25;;25
;1425;;25;;25;;25;;25;;25
;555;;25;;25;;25;;25;;25
;3434;;26;;26;;26;;26;;26
;6549;;26;;26;;26;;26;;26
;7441;;26;;26;;26;;26;;26
;9512;;26;;26;;26;;26;;26
;145;;26;;26;;26;;26;;26
;8060;;26;;26;;26;;26;;26
;1718;;26;;26;;26;;26;;26
;3753;;26;;26;;26;;26;;26
;6139;;26;;26;;26;;26;;26
;2423;;27;;27;;27;;27;;27
;6279;;27;;27;;27;;27;;27
;5996;;27;;27;;27;;27;;27
;6687;;27;;27;;27;;27;;27
;2529;;27;;27;;27;;27;;27
;2549;;27;;27;;27;;27;;27
;7437;;27;;27;;27;;27;;27
;9866;;28;;28;;28;;28;;28
;2949;;28;;28;;28;;28;;28
;193;;28;;28;;28;;28;;28
;3195;;28;;28;;28;;28;;28
;3297;;28;;28;;28;;28;;28
;416;;28;;28;;28;;28;;28
;8286;;28;;28;;28;;28;;28
;6105;;28;;28;;28;;28;;28
;4488;;28;;28;;28;;28;;28
;6282;;28;;28;;28;;28;;28
;2455;;28;;28;;28;;28;;28
;5734;;28;;28;;28;;28;;28
;8114;;28;;28;;28;;28;;28
;1701;;28;;28;;28;;28;;28
;1316;;28;;28;;28;;28;;28
;671;;28;;28;;28;;28;;28
;5786;;28;;28;;28;;28;;28
;2263;;28;;28;;28;;28;;28
;4313;;28;;28;;28;;28;;28
;4355;;28;;28;;28;;28;;28
;1185;;28;;28;;28;;28;;28
;53;;28;;28;;28;;28;;28
;912;;28;;28;;28;;28;;28
;808;;28;;28;;28;;28;;28
;1832;;29;;29;;29;;29;;29
;945;;29;;29;;29;;29;;29
;4313;;29;;29;;29;;29;;29
;7756;;29;;29;;29;;29;;29
;8321;;29;;29;;29;;29;;29
;9558;;29;;29;;29;;29;;29
;3646;;29;;29;;29;;29;;29
;7982;;29;;29;;29;;29;;29
;481;;29;;29;;29;;29;;29
;4144;;29;;29;;29;;29;;29
;3196;;30;;30;;30;;30;;30
;222;;30;;30;;30;;30;;30
;7129;;30;;30;;30;;30;;30
;2161;;30;;30;;30;;30;;30
;5535;;30;;30;;30;;30;;30
;450;;30;;30;;30;;30;;30
;1173;;30;;30;;30;;30;;30
;466;;30;;30;;30;;30;;30
;2044;;30;;30;;30;;30;;30
;1659;;30;;30;;30;;30;;30
;6292;;30;;30;;30;;30;;30
;6439;;31;;31;;31;;31;;31
;7253;;31;;31;;31;;31;;31
;24;;31;;31;;31;;31;;31
;6154;;31;;31;;31;;31;;31
;9510;;31;;31;;31;;31;;31
;4745;;31;;31;;31;;31;;31
;649;;31;;31;;31;;31;;31
;3186;;31;;31;;31;;31;;31
;8313;;31;;31;;31;;31;;31
;4474;;31;;31;;31;;31;;31
;8022;;31;;31;;31;;31;;31
;2168;;32;;32;;32;;32;;32
;4018;;32;;32;;32;;32;;32
;8787;;32;;32;;32;;32;;32
;9905;;32;;32;;32;;32;;32
;7958;;32;;32;;32;;32;;32
;7391;;32;;32;;32;;32;;32
;202;;32;;32;;32;;32;;32
;3625;;32;;32;;32;;32;;32
;6477;;32;;32;;32;;32;;32
;4414;;32;;32;;32;;32;;32
;9314;;32;;32;;32;;32;;32
;5824;;33;;33;;33;;33;;33
;9334;;33;;33;;33;;33;;33
;5874;;33;;33;;33;;33;;33
;4372;;33;;33;;33;;33;;33
;159;;33;;33;;33;;33;;33
;1833;;33;;33;;33;;33;;33
;8070;;33;;33;;33;;33;;33
;7487;;33;;33;;33;;33;;33
;8297;;33;;33;;33;;33;;33
;7518;;33;;33;;33;;33;;33
;8177;;33;;33;;33;;33;;33
;7773;;33;;33;;33;;33;;33
;2270;;34;;34;;34;;34;;34
;1763;;34;;34;;34;;34;;34
;2668;;34;;34;;34;;34;;34
;7192;;34;;34;;34;;34;;34
;3985;;34;;34;;34;;34;;34
;3102;;34;;34;;34;;34;;34
;8480;;34;;34;;34;;34;;34
;9213;;34;;34;;34;;34;;34
;7627;;34;;34;;34;;34;;34
;4802;;35;;35;;35;;35;;35
;4099;;35;;35;;35;;35;;35
;527;;35;;35;;35;;35;;35
;2625;;35;;35;;35;;35;;35
;1543;;35;;35;;35;;35;;35
;1924;;35;;35;;35;;35;;35
;1023;;35;;35;;35;;35;;35
;9972;;35;;35;;35;;35;;35
;3061;;35;;35;;35;;35;;35
;4181;;35;;35;;35;;35;;35
;1003;;35;;35;;35;;35;;35
;7432;;35;;35;;35;;35;;35
;7505;;36;;36;;36;;36;;36
;7593;;36;;36;;36;;36;;36
;2725;;36;;36;;36;;36;;36
;3031;;36;;36;;36;;36;;36
;8492;;36;;36;;36;;36;;36
;142;;36;;36;;36;;36;;36
;7222;;36;;36;;36;;36;;36
;1286;;36;;36;;36;;36;;36
;3064;;36;;36;;36;;36;;36
;7900;;36;;36;;36;;36;;36
;9187;;36;;36;;36;;36;;36
;8360;;37;;37;;37;;37;;37
;2413;;37;;37;;37;;37;;37
;974;;37;;37;;37;;37;;37
;4270;;37;;37;;37;;37;;37
;9170;;37;;37;;37;;37;;37
;235;;37;;37;;37;;37;;37
;833;;37;;37;;37;;37;;37
;9711;;37;;37;;37;;37;;37
;5760;;37;;37;;37;;37;;37
;8896;;37;;37;;37;;37;;37
;4667;;37;;37;;37;;37;;37
;7285;;37;;37;;37;;37;;37
;2550;;37;;37;;37;;37;;37
;140;;38;;38;;38;;38;;38
;3694;;38;;38;;38;;38;;38
;2695;;38;;38;;38;;38;;38
;1624;;38;;38;;38;;38;;38
;8019;;38;;38;;38;;38;;38
;2125;;38;;38;;38;;38;;38
;6576;;38;;38;;38;;38;;38
;1694;;38;;38;;38;;38;;38
;2658;;38;;38;;38;;38;;38
;6302;;38;;38;;38;;38;;38
;7371;;38;;38;;38;;38;;38
;2466;;38;;38;;38;;38;;38
;4678;;38;;38;;38;;38;;38
;2593;;38;;38;;38;;38;;38
;3851;;38;;38;;38;;38;;38
;5484;;38;;38;;38;;38;;38
;1018;;38;;38;;38;;38;;38
;8464;;39;;39;;39;;39;;39
;1119;;39;;39;;39;;39;;39
;3152;;39;;39;;39;;39;;39
;2800;;39;;39;;39;;39;;39
;8087;;39;;39;;39;;39;;39
;1060;;39;;39;;39;;39;;39
;1926;;39;;39;;39;;39;;39
;9010;;39;;39;;39;;39;;39
;4757;;39;;39;;39;;39;;39
;2170;;39;;39;;39;;39;;39
;315;;39;;39;;39;;39;;39
;9576;;39;;39;;39;;39;;39
;227;;39;;39;;39;;39;;39
;2043;;39;;39;;39;;39;;39
;2758;;40;;40;;40;;40;;40
;7164;;40;;40;;40;;40;;40
;5109;;40;;40;;40;;40;;40
;7882;;40;;40;;40;;40;;40
;7086;;40;;40;;40;;40;;40
;9565;;40;;40;;40;;40;;40
;3487;;40;;40;;40;;40;;40
;9577;;40;;40;;40;;40;;40
;4474;;40;;40;;40;;40;;40
;2625;;40;;40;;40;;40;;40
;5627;;40;;40;;40;;40;;40
;5629;;40;;40;;40;;40;;40
;1928;;40;;40;;40;;40;;40
;5423;;40;;40;;40;;40;;40
;8520;;40;;40;;40;;40;;40
;6902;;40;;40;;40;;40;;40
;4962;;41;;41;;41;;41;;41
;123;;41;;41;;41;;41;;41
;4596;;41;;41;;41;;41;;41
;3737;;41;;41;;41;;41;;41
;3261;;41;;41;;41;;41;;41
;195;;41;;41;;41;;41;;41
;2525;;41;;41;;41;;41;;41
;1264;;41;;41;;41;;41;;41
;8260;;41;;41;;41;;41;;41
;6202;;41;;41;;41;;41;;41
;8116;;41;;41;;41;;41;;41
;5030;;41;;41;;41;;41;;41
;326;;41;;41;;41;;41;;41
;9011;;41;;41;;41;;41;;41
;771;;41;;41;;41;;41;;41
;6411;;41;;41;;41;;41;;41
;5547;;41;;41;;41;;41;;41
;1153;;41;;41;;41;;41;;41
;1520;;41;;41;;41;;41;;41
;9790;;41;;41;;41;;41;;41
;4924;;41;;41;;41;;41;;41
;188;;42;;42;;42;;42;;42
;1763;;42;;42;;42;;42;;42
;4940;;42;;42;;42;;42;;42
;851;;42;;42;;42;;42;;42
;8662;;42;;42;;42;;42;;42
;3829;;42;;42;;42;;42;;42
;900;;42;;42;;42;;42;;42
;7713;;42;;42;;42;;42;;42
;8958;;42;;42;;42;;42;;42
;7578;;42;;42;;42;;42;;42
;8365;;42;;42;;42;;42;;42
;3007;;42;;42;;42;;42;;42
;1477;;42;;42;;42;;42;;42
;1200;;42;;42;;42;;42;;42
;6058;;42;;42;;42;;42;;42
;6439;;43;;43;;43;;43;;43
;2303;;43;;43;;43;;43;;43
;2760;;43;;43;;43;;43;;43
;9357;;43;;43;;43;;43;;43
;2324;;43;;43;;43;;43;;43
;6477;;43;;43;;43;;43;;43
;5108;;43;;43;;43;;43;;43
;1113;;43;;43;;43;;43;;43
;4887;;43;;43;;43;;43;;43
;9801;;43;;43;;43;;43;;43
;2850;;43;;43;;43;;43;;43
;4460;;43;;43;;43;;43;;43
;2428;;43;;43;;43;;43;;43
;2993;;43;;43;;43;;43;;43
;7384;;44;;44;;44;;44;;44
;9405;;44;;44;;44;;44;;44
;6540;;44;;44;;44;;44;;44
;1111;;44;;44;;44;;44;;44
;8704;;44;;44;;44;;44;;44
;2835;;44;;44;;44;;44;;44
;2356;;45;;45;;45;;45;;45
;6072;;45;;45;;45;;45;;45
;9350;;45;;45;;45;;45;;45
;8823;;45;;45;;45;;45;;45
;4485;;45;;45;;45;;45;;45
;556;;45;;45;;45;;45;;45
;3216;;45;;45;;45;;45;;45
;1626;;45;;45;;45;;45;;45
;9357;;45;;45;;45;;45;;45
;8526;;45;;45;;45;;45;;45
;3357;;45;;45;;45;;45;;45
;9337;;45;;45;;45;;45;;45
;3271;;46;;46;;46;;46;;46
;3869;;46;;46;;46;;46;;46
;9361;;46;;46;;46;;46;;46
;2896;;46;;46;;46;;46;;46
;3022;;46;;46;;46;;46;;46
;9617;;46;;46;;46;;46;;46
;112;;46;;46;;46;;46;;46
;2717;;46;;46;;46;;46;;46
;8696;;46;;46;;46;;46;;46
;1585;;46;;46;;46;;46;;46
;4041;;46;;46;;46;;46;;46
;4423;;46;;46;;46;;46;;46
;4129;;46;;46;;46;;46;;46
;4229;;47;;47;;47;;47;;47
;4565;;47;;47;;47;;47;;47
;6559;;47;;47;;47;;47;;47
;8932;;47;;47;;47;;47;;47
;2296;;47;;47;;47;;47;;47
;9855;;47;;47;;47;;47;;47
;2053;;47;;47;;47;;47;;47
;6962;;47;;47;;47;;47;;47
;3584;;47;;47;;47;;47;;47
;9734;;47;;47;;47;;47;;47
;6654;;47;;47;;47;;47;;47
;6972;;47;;47;;47;;47;;47
;1457;;47;;47;;47;;47;;47
;4369;;47;;47;;47;;47;;47
;2532;;48;;48;;48;;48;;48
;2963;;48;;48;;48;;48;;48
;2607;;48;;48;;48;;48;;48
;2483;;48;;48;;48;;48;;48
;911;;48;;48;;48;;48;;48
;1635;;48;;48;;48;;48;;48
;67;;48;;48;;48;;48;;48
;2848;;48;;48;;48;;48;;48
;4675;;48;;48;;48;;48;;48
;2938;;48;;48;;48;;48;;48
;2223;;48;;48;;48;;48;;48
;2142;;48;;48;;48;;48;;48
;3754;;48;;48;;48;;48;;48
;6511;;48;;48;;48;;48;;48
;2741;;48;;48;;48;;48;;48
;175;;48;;48;;48;;48;;48
;1459;;48;;48;;48;;48;;48
;7825;;49;;49;;49;;49;;49
;3221;;49;;49;;49;;49;;49
;7870;;49;;49;;49;;49;;49
;1626;;49;;49;;49;;49;;49
;1934;;49;;49;;49;;49;;49
;5205;;49;;49;;49;;49;;49
;1783;;49;;49;;49;;49;;49
;3850;;49;;49;;49;;49;;49
;7398;;49;;49;;49;;49;;49
;2279;;49;;49;;49;;49;;49
;2701;;49;;49;;49;;49;;49
;2193;;49;;49;;49;;49;;49
;2734;;49;;49;;49;;49;;49
;1637;;49;;49;;49;;49;;49
;6534;;49;;49;;49;;49;;49
;5556;;49;;49;;49;;49;;49
;1993;;50;;50;;50;;50;;50
;176;;50;;50;;50;;50;;50
;5705;;50;;50;;50;;50;;50
;6962;;50;;50;;50;;50;;50
;548;;50;;50;;50;;50;;50
;5881;;50;;50;;50;;50;;50
;300;;50;;50;;50;;50;;50
;4413;;50;;50;;50;;50;;50
;6641;;50;;50;;50;;50;;50
;9855;;50;;50;;50;;50;;50
;4855;;50;;50;;50;;50;;50
;3142;;50;;50;;50;;50;;50
;1462;;50;;50;;50;;50;;50
;7611;;51;;51;;51;;51;;51
;877;;51;;51;;51;;51;;51
;424;;51;;51;;51;;51;;51
;2678;;51;;51;;51;;51;;51
;1752;;51;;51;;51;;51;;51
;8443;;51;;51;;51;;51;;51
;8296;;51;;51;;51;;51;;51
;2673;;51;;51;;51;;51;;51
;40;;51;;51;;51;;51;;51
;9313;;51;;51;;51;;51;;51
;875;;51;;51;;51;;51;;51
;72;;51;;51;;51;;51;;51
;2818;;51;;51;;51;;51;;51
;610;;52;;52;;52;;52;;52
;1017;;52;;52;;52;;52;;52
;4932;;52;;52;;52;;52;;52
;8112;;52;;52;;52;;52;;52
;695;;52;;52;;52;;52;;52
;3169;;52;;52;;52;;52;;52
;3831;;52;;52;;52;;52;;52
;40;;52;;52;;52;;52;;52
;6488;;52;;52;;52;;52;;52
;8685;;52;;52;;52;;52;;52
;9090;;53;;53;;53;;53;;53
;9497;;53;;53;;53;;53;;53
;2589;;53;;53;;53;;53;;53
;5990;;53;;53;;53;;53;;53
;5145;;53;;53;;53;;53;;53
;9353;;53;;53;;53;;53;;53
;9314;;53;;53;;53;;53;;53
;8651;;53;;53;;53;;53;;53
;6740;;53;;53;;53;;53;;53
;2044;;53;;53;;53;;53;;53
;1258;;53;;53;;53;;53;;53
;335;;53;;53;;53;;53;;53
;8759;;53;;53;;53;;53;;53
;1192;;53;;53;;53;;53;;53
;7605;;54;;54;;54;;54;;54
;5264;;54;;54;;54;;54;;54
;2181;;54;;54;;54;;54;;54
;8503;;54;;54;;54;;54;;54
;3829;;54;;54;;54;;54;;54
;3775;;54;;54;;54;;54;;54
;608;;54;;54;;54;;54;;54
;9292;;54;;54;;54;;54;;54
;5997;;54;;54;;54;;54;;54
;7549;;54;;54;;54;;54;;54
;9556;;55;;55;;55;;55;;55
;5561;;55;;55;;55;;55;;55
;1627;;55;;55;;55;;55;;55
;6467;;55;;55;;55;;55;;55
;9541;;55;;55;;55;;55;;55
;6129;;55;;55;;55;;55;;55
;1240;;55;;55;;55;;55;;55
;7813;;55;;55;;55;;55;;55
;9174;;55;;55;;55;;55;;55
;601;;56;;56;;56;;56;;56
;6077;;56;;56;;56;;56;;56
;215;;56;;56;;56;;56;;56
;8683;;56;;56;;56;;56;;56
;8213;;56;;56;;56;;56;;56
;3992;;56;;56;;56;;56;;56
;5824;;56;;56;;56;;56;;56
;5601;;56;;56;;56;;56;;56
;3392;;56;;56;;56;;56;;56
;5759;;56;;56;;56;;56;;56
;2670;;56;;56;;56;;56;;56
;6428;;57;;57;;57;;57;;57
;8027;;57;;57;;57;;57;;57
;4084;;57;;57;;57;;57;;57
;75;;57;;57;;57;;57;;57
;8786;;57;;57;;57;;57;;57
;5498;;57;;57;;57;;57;;57
;4970;;57;;57;;57;;57;;57
;6287;;57;;57;;57;;57;;57
;3847;;57;;57;;57;;57;;57
;2604;;57;;57;;57;;57;;57
;503;;57;;57;;57;;57;;57
;1221;;57;;57;;57;;57;;57
;2663;;57;;57;;57;;57;;57
;5706;;57;;57;;57;;57;;57
;2363;;57;;57;;57;;57;;57
;9010;;57;;57;;57;;57;;57
;2171;;58;;58;;58;;58;;58
;7489;;58;;58;;58;;58;;58
;8240;;58;;58;;58;;58;;58
;2164;;58;;58;;58;;58;;58
;5542;;58;;58;;58;;58;;58
;7619;;58;;58;;58;;58;;58
;913;;58;;58;;58;;58;;58
;7591;;58;;58;;58;;58;;58
;6704;;58;;58;;58;;58;;58
;1818;;58;;58;;58;;58;;58
;9232;;58;;58;;58;;58;;58
;750;;58;;58;;58;;58;;58
;5205;;58;;58;;58;;58;;58
;4975;;59;;59;;59;;59;;59
;1539;;59;;59;;59;;59;;59
;303;;59;;59;;59;;59;;59
;1422;;59;;59;;59;;59;;59
