Search data
Key;44
Time search;0.0000000000
Position;60

Sort data
;Index;Not sorted array;;Sorted array
;466;2800;;359
;467;8087;;361
;468;1060;;362
;469;1926;;363
;470;9010;;365
;471;4757;;366
;472;2170;;366
;473;315;;369
;474;9576;;369
;475;227;;370
;476;2043;;371
;477;2758;;371
;478;7164;;372
;479;5109;;373
;480;7882;;373
;481;7086;;377
;482;9565;;377
;483;3487;;378
;484;9577;;378
;485;4474;;380
;486;2625;;380
;487;5627;;381
;488;5629;;381
;489;1928;;382
;490;5423;;382
;491;8520;;382
;492;6902;;383
;493;4962;;383
;494;123;;383
;495;4596;;383
;496;3737;;386
;497;3261;;386
;498;195;;387
;499;2525;;388
;500;1264;;388
;501;8260;;389
;502;6202;;389
;503;8116;;390
;504;5030;;391
;505;326;;391
;506;9011;;391
;507;771;;392
;508;6411;;393
;509;5547;;393
;510;1153;;393
;511;1520;;394
;512;9790;;395
;513;4924;;396
;514;188;;396
;515;1763;;396
;516;4940;;397
;517;851;;397
;518;8662;;398
;519;3829;;400
;520;900;;401
;521;7713;;402
;522;8958;;403
;523;7578;;403
;524;8365;;403
;525;3007;;405
;526;1477;;406
;527;1200;;406
;528;6058;;406
;529;6439;;408
;530;2303;;411
;531;2760;;412
;532;9357;;415
;533;2324;;415
;534;6477;;415
;535;5108;;415
;536;1113;;416
;537;4887;;416
;538;9801;;416
;539;2850;;418
;540;4460;;418
;541;2428;;419
;542;2993;;420
;543;7384;;420
;544;9405;;421
;545;6540;;421
;546;1111;;422
;547;8704;;422
;548;2835;;423
;549;2356;;424
;550;6072;;424
;551;9350;;424
;552;8823;;425
;553;4485;;426
;554;556;;426
;555;3216;;428
;556;1626;;429
;557;9357;;430
;558;8526;;432
;559;3357;;432
;560;9337;;432
;561;3271;;432
;562;3869;;433
;563;9361;;435
;564;2896;;435
;565;3022;;437
;566;9617;;437
;567;112;;439
;568;2717;;439
;569;8696;;440
;570;1585;;440
;571;4041;;441
;572;4423;;443
;573;4129;;444
;574;4229;;444
;575;4565;;444
;576;6559;;444
;577;8932;;447
;578;2296;;448
;579;9855;;448
;580;2053;;448
;581;6962;;449
;582;3584;;449
;583;9734;;450
;584;6654;;452
;585;6972;;454
;586;1457;;456
;587;4369;;456
;588;2532;;459
;589;2963;;460
;590;2607;;461
;591;2483;;462
;592;911;;463
;593;1635;;463
;594;67;;465
;595;2848;;466
;596;4675;;466
;597;2938;;466
;598;2223;;467
;599;2142;;467
;600;3754;;468
;601;6511;;468
;602;2741;;468
;603;175;;469
;604;1459;;470
;605;7825;;470
;606;3221;;470
;607;7870;;471
;608;1626;;471
;609;1934;;472
;610;5205;;472
;611;1783;;474
;612;3850;;474
;613;7398;;474
;614;2279;;474
;615;2701;;475
;616;2193;;475
;617;2734;;476
;618;1637;;476
;619;6534;;476
;620;5556;;478
;621;1993;;479
;622;176;;479
;623;5705;;479
;624;6962;;481
;625;548;;481
;626;5881;;481
;627;300;;482
;628;4413;;482
;629;6641;;484
;630;9855;;485
;631;4855;;485
;632;3142;;485
;633;1462;;485
;634;7611;;485
;635;877;;487
;636;424;;488
;637;2678;;488
;638;1752;;489
;639;8443;;489
;640;8296;;489
;641;2673;;490
;642;40;;491
;643;9313;;493
;644;875;;495
;645;72;;497
;646;2818;;497
;647;610;;497
;648;1017;;498
;649;4932;;498
;650;8112;;498
;651;695;;498
;652;3169;;499
;653;3831;;502
;654;40;;502
;655;6488;;502
;656;8685;;503
;657;9090;;503
;658;9497;;503
;659;2589;;504
;660;5990;;506
;661;5145;;506
;662;9353;;506
;663;9314;;508
;664;8651;;509
;665;6740;;509
;666;2044;;510
;667;1258;;511
;668;335;;514
;669;8759;;518
;670;1192;;518
;671;7605;;519
;672;5264;;521
;673;2181;;522
;674;8503;;522
;675;3829;;523
;676;3775;;523
;677;608;;523
;678;9292;;524
;679;5997;;524
;680;7549;;525
;681;9556;;526
;682;5561;;527
;683;1627;;527
;684;6467;;528
;685;9541;;528
;686;6129;;528
;687;1240;;528
;688;7813;;530
;689;9174;;530
;690;601;;530
;691;6077;;531
;692;215;;532
;693;8683;;532
;694;8213;;537
;695;3992;;537
;696;5824;;538
;697;5601;;538
;698;3392;;538
;699;5759;;538
;700;2670;;539
;701;6428;;540
;702;8027;;540
;703;4084;;540
;704;75;;542
;705;8786;;542
;706;5498;;542
;707;4970;;542
;708;6287;;547
;709;3847;;548
;710;2604;;548
;711;503;;552
;712;1221;;552
;713;2663;;553
;714;5706;;554
;715;2363;;555
;716;9010;;555
;717;2171;;555
;718;7489;;555
;719;8240;;556
;720;2164;;556
;721;5542;;556
;722;7619;;556
;723;913;;556
;724;7591;;557
;725;6704;;558
;726;1818;;559
;727;9232;;560
;728;750;;561
;729;5205;;562
;730;4975;;563
;731;1539;;565
;732;303;;565
;733;1422;;565
;734;1098;;566
;735;1247;;567
;736;3584;;568
;737;3648;;568
;738;2971;;570
;739;7864;;571
;740;2913;;573
;741;1075;;573
;742;1545;;573
;743;8712;;574
;744;7546;;574
;745;8678;;576
;746;1769;;577
;747;5262;;577
;748;8519;;578
;749;3985;;579
;750;8289;;580
;751;5944;;580
;752;2865;;580
;753;8540;;581
;754;3245;;581
;755;5508;;582
;756;8318;;583
;757;7870;;583
;758;9601;;583
;759;8323;;584
;760;1132;;585
;761;4472;;585
;762;7152;;586
;763;5087;;589
;764;8570;;591
;765;9763;;591
;766;9901;;592
;767;7103;;594
;768;4423;;594
;769;3527;;595
;770;1600;;597
;771;6969;;597
;772;4015;;597
;773;5565;;598
;774;28;;598
;775;1543;;599
;776;5347;;600
;777;2088;;600
;778;2943;;600
;779;2637;;600
;780;2409;;601
;781;6463;;603
;782;5049;;604
;783;4681;;606
;784;1588;;606
;785;1342;;606
;786;608;;607
;787;2060;;608
;788;1221;;608
;789;1758;;608
;790;9954;;609
;791;888;;609
;792;4146;;610
;793;690;;610
;794;7949;;613
;795;2843;;614
;796;1430;;615
;797;5620;;615
;798;748;;617
;799;7067;;617
;800;4536;;620
;801;783;;620
;802;8035;;621
;803;2226;;623
;804;5185;;624
;805;7038;;625
;806;9853;;626
;807;5629;;628
;808;1224;;628
;809;5748;;630
;810;9923;;630
;811;3359;;630
;812;2257;;630
;813;4766;;631
;814;4944;;633
;815;4955;;633
;816;3318;;634
;817;2726;;635
;818;5411;;635
;819;1025;;636
;820;355;;637
;821;1001;;638
;822;2549;;639
;823;9496;;640
;824;8584;;640
;825;9515;;640
;826;7964;;641
;827;3342;;642
;828;8075;;642
;829;7913;;643
;830;6142;;643
;831;1196;;643
;832;1948;;643
;833;5072;;645
;834;426;;647
;835;4606;;647
;836;6173;;648
;837;4429;;648
;838;2404;;648
;839;6705;;648
;840;626;;649
;841;9812;;650
;842;9375;;650
;843;93;;652
;844;6565;;652
;845;6036;;653
;846;4736;;654
;847;9141;;654
;848;814;;654
;849;5994;;655
;850;8256;;656
;851;6652;;656
;852;3936;;657
;853;838;;658
;854;482;;658
;855;1355;;661
;856;1015;;663
;857;1131;;663
;858;8230;;664
;859;7841;;664
;860;4625;;665
;861;2011;;665
;862;2637;;666
;863;4186;;666
;864;9690;;666
;865;1650;;666
;866;5662;;666
;867;1634;;666
;868;893;;666
;869;353;;667
;870;1416;;668
;871;3452;;668
;872;4008;;669
;873;7262;;670
;874;2233;;671
;875;5454;;671
;876;6303;;672
;877;6634;;674
;878;6303;;675
;879;4256;;675
;880;148;;677
;881;1124;;677
;882;2317;;677
;883;4213;;677
;884;7109;;678
;885;4028;;679
;886;9200;;679
;887;1080;;680
;888;1318;;681
;889;6858;;681
;890;4050;;682
;891;4155;;684
;892;1361;;684
;893;5264;;684
;894;1903;;686
;895;3676;;687
;896;9643;;688
;897;6909;;690
;898;4902;;690
;899;3561;;691
;900;8489;;692
;901;4948;;692
;902;1282;;693
;903;3653;;693
;904;674;;693
;905;2220;;695
;906;5402;;695
;907;6923;;695
;908;3831;;697
;909;9369;;698
;910;3878;;698
;911;259;;698
;912;9008;;700
;913;2619;;700
;914;3971;;700
;915;3;;700
;916;1945;;702
;917;9781;;702
;918;6504;;703
;919;2392;;703
;920;2685;;704
;921;5313;;707
;922;6698;;708
;923;5589;;708
;924;2722;;709
;925;5938;;710
;926;9037;;710
;927;6410;;712
;928;1461;;712
;929;6234;;713
;930;2508;;713
;931;9961;;714
;932;3959;;714
;933;6493;;716
;934;1515;;716
;935;5269;;718
;936;4937;;720
;937;8869;;721
;938;58;;722
;939;4700;;722
;940;3971;;723
;941;6264;;724
;942;5117;;726
;943;6215;;727
;944;4555;;727
;945;7815;;727
;946;8330;;731
;947;3039;;731
;948;212;;731
;949;9288;;732
;950;8082;;733
;951;1954;;734
;952;6085;;735
;953;710;;736
;954;4484;;736
;955;4774;;736
;956;8380;;737
;957;9815;;739
;958;5951;;741
;959;6541;;742
;960;8115;;742
;961;1679;;744
;962;7110;;744
;963;5898;;745
;964;3073;;746
;965;788;;747
;966;3977;;747
;967;8132;;748
;968;9956;;748
;969;8689;;750
;970;6113;;750
;971;8;;751
;972;2941;;752
;973;5790;;753
;974;1723;;753
;975;1363;;754
;976;28;;755
;977;5184;;756
;978;4778;;758
;979;7200;;759
;980;5071;;759
;981;1885;;759
;982;1974;;760
;983;1071;;760
;984;1333;;761
;985;2867;;761
;986;6153;;763
;987;4295;;763
;988;2168;;764
;989;825;;765
;990;9676;;766
;991;5629;;767
;992;8650;;768
;993;2598;;768
;994;3309;;769
;995;4693;;770
;996;4686;;770
;997;80;;771
;998;116;;771
;999;2249;;773
;1000;6667;;773
;1001;1528;;773
;1002;6679;;774
;1003;7864;;775
;1004;9421;;777
;1005;8405;;778
;1006;8826;;778
;1007;6816;;778
;1008;7516;;781
;1009;7726;;783
;1010;8666;;783
;1011;9087;;784
;1012;7681;;785
;1013;9964;;786
;1014;1340;;786
;1015;5686;;786
;1016;6021;;787
;1017;1662;;788
;1018;4721;;788
;1019;6064;;789
;1020;9309;;790
;1021;415;;790
;1022;7902;;792
;1023;9873;;792
;1024;7124;;792
;1025;3941;;794
;1026;2745;;794
;1027;1762;;795
;1028;8423;;795
;1029;7531;;797
;1030;4806;;797
;1031;2268;;798
;1032;9318;;798
;1033;5602;;799
;1034;1907;;799
;1035;4307;;799
;1036;3481;;800
;1037;1012;;800
;1038;1136;;801
;1039;6630;;802
;1040;4114;;802
;1041;6809;;803
;1042;4084;;804
;1043;3556;;805
;1044;2290;;805
;1045;1293;;805
;1046;9996;;806
;1047;9152;;806
;1048;1054;;807
;1049;5345;;807
;1050;4708;;807
;1051;248;;808
;1052;7491;;808
;1053;3712;;809
;1054;5131;;811
;1055;114;;812
;1056;6439;;813
;1057;7958;;813
;1058;4722;;814
;1059;9704;;816
;1060;6995;;816
;1061;1052;;819
;1062;5269;;820
;1063;7479;;821
;1064;8238;;823
;1065;6423;;824
;1066;7918;;825
;1067;866;;825
;1068;7659;;826
;1069;2498;;827
;1070;8486;;827
;1071;1196;;829
;1072;7462;;830
;1073;6633;;831
;1074;2158;;832
;1075;2022;;832
;1076;1146;;833
;1077;8392;;833
;1078;3037;;833
;1079;3925;;834
;1080;647;;836
;1081;9458;;836
;1082;6602;;837
;1083;807;;837
;1084;4098;;838
;1085;7830;;838
;1086;9292;;838
;1087;4600;;838
;1088;7278;;838
;1089;799;;839
;1090;8352;;839
;1091;448;;840
;1092;3882;;841
;1093;540;;842
;1094;8315;;842
;1095;4575;;843
;1096;8762;;843
;1097;9567;;844
;1098;2336;;844
;1099;8397;;845
;1100;1418;;845
;1101;9897;;845
;1102;5828;;846
;1103;3851;;846
;1104;6816;;848
;1105;4230;;849
;1106;4449;;850
;1107;6925;;851
;1108;658;;851
;1109;229;;855
;1110;4520;;855
;1111;940;;856
;1112;9560;;856
;1113;5147;;858
;1114;5162;;861
;1115;1655;;862
;1116;675;;863
;1117;792;;864
;1118;2361;;866
;1119;1754;;867
;1120;6398;;867
;1121;3146;;868
;1122;8714;;869
;1123;6946;;869
;1124;1188;;870
;1125;9569;;872
;1126;8638;;873
;1127;7663;;873
;1128;5075;;874
;1129;4515;;875
;1130;1521;;875
;1131;475;;876
;1132;5615;;876
;1133;528;;876
;1134;3234;;877
;1135;2570;;877
;1136;905;;877
;1137;9464;;879
;1138;9557;;881
;1139;8962;;882
;1140;4161;;883
;1141;524;;883
;1142;2549;;883
;1143;7469;;883
;1144;330;;883
;1145;1923;;884
;1146;8350;;884
;1147;4333;;885
;1148;2925;;886
;1149;910;;888
;1150;9737;;889
;1151;6336;;891
;1152;8337;;891
;1153;1278;;893
;1154;2393;;893
;1155;7636;;893
;1156;714;;893
;1157;8164;;895
;1158;1591;;898
;1159;9949;;899
;1160;9135;;899
;1161;2505;;900
;1162;3337;;900
;1163;4;;900
;1164;6337;;903
;1165;2623;;904
;1166;8664;;904
;1167;9970;;905
;1168;5608;;905
;1169;568;;906
;1170;9281;;906
;1171;7085;;906
;1172;9152;;906
;1173;8373;;906
;1174;8652;;909
;1175;8194;;910
;1176;9876;;910
;1177;3826;;911
;1178;8396;;912
;1179;7572;;912
;1180;6249;;913
;1181;4640;;915
;1182;9174;;916
;1183;8819;;917
;1184;943;;917
;1185;2611;;920
;1186;1941;;920
;1187;289;;921
;1188;8419;;921
;1189;5565;;922
;1190;3805;;923
;1191;7585;;925
;1192;6216;;925
;1193;1450;;925
;1194;1615;;929
;1195;2609;;929
;1196;1064;;929
;1197;9166;;930
;1198;6893;;931
;1199;6074;;932
;1200;3509;;935
;1201;300;;935
;1202;9695;;935
;1203;9573;;935
;1204;5589;;935
;1205;3161;;938
;1206;1172;;939
;1207;7968;;940
;1208;7358;;940
;1209;6031;;943
;1210;6268;;943
;1211;9426;;943
;1212;8510;;943
;1213;422;;943
;1214;774;;944
;1215;8779;;944
;1216;910;;945
;1217;3552;;945
;1218;4182;;946
;1219;5391;;946
;1220;5495;;947
;1221;5764;;949
;1222;874;;951
;1223;1364;;951
;1224;4902;;951
;1225;8255;;952
;1226;4460;;953
;1227;474;;954
;1228;6972;;954
;1229;6821;;955
;1230;6122;;955
;1231;5547;;958
;1232;1577;;959
;1233;9789;;960
;1234;5605;;961
;1235;195;;966
;1236;7594;;967
;1237;7950;;967
;1238;6343;;967
;1239;754;;968
;1240;2481;;968
;1241;1012;;970
;1242;1672;;971
;1243;3439;;971
;1244;3428;;972
;1245;5912;;973
;1246;9762;;974
;1247;5967;;974
;1248;4408;;974
;1249;4415;;975
;1250;1908;;976
;1251;7223;;976
;1252;1759;;977
;1253;6434;;979
;1254;5204;;979
;1255;9486;;979
;1256;4319;;979
;1257;958;;979
;1258;5945;;980
;1259;6806;;984
;1260;8166;;985
;1261;8700;;986
;1262;1367;;987
;1263;7692;;987
;1264;1787;;989
;1265;8532;;989
;1266;556;;990
;1267;974;;990
;1268;3447;;990
;1269;5021;;991
;1270;8283;;991
;1271;6222;;996
;1272;9331;;997
;1273;2376;;997
;1274;8583;;998
;1275;6948;;998
;1276;2723;;999
;1277;7982;;999
;1278;2018;;1000
;1279;4776;;1001
;1280;9220;;1001
;1281;1111;;1001
;1282;2182;;1001
;1283;3856;;1002
;1284;9490;;1003
;1285;8925;;1003
;1286;4324;;1004
;1287;6486;;1005
;1288;9677;;1005
;1289;5969;;1006
;1290;1643;;1007
;1291;7534;;1008
;1292;5677;;1008
;1293;2668;;1008
;1294;1068;;1009
;1295;1991;;1011
;1296;2196;;1011
;1297;7783;;1012
;1298;6828;;1012
;1299;7727;;1014
;1300;9426;;1014
;1301;5871;;1015
;1302;697;;1015
;1303;7612;;1016
;1304;8703;;1017
;1305;1027;;1018
;1306;1408;;1020
;1307;5545;;1020
;1308;9508;;1022
;1309;7185;;1023
;1310;238;;1023
;1311;4237;;1025
;1312;6443;;1025
;1313;1313;;1025
;1314;2501;;1026
;1315;8850;;1026
;1316;5128;;1027
;1317;2111;;1027
;1318;3650;;1028
;1319;8149;;1028
;1320;1192;;1028
;1321;1454;;1028
;1322;5869;;1030
;1323;681;;1032
;1324;7465;;1033
;1325;267;;1033
;1326;7713;;1033
;1327;9793;;1034
;1328;8634;;1036
;1329;5472;;1041
;1330;972;;1041
;1331;2830;;1042
;1332;4901;;1044
;1333;8442;;1047
;1334;5177;;1047
;1335;3877;;1047
;1336;5770;;1048
;1337;702;;1049
;1338;4364;;1049
;1339;1381;;1051
;1340;6590;;1051
;1341;8823;;1051
;1342;2237;;1052
;1343;8023;;1052
;1344;2179;;1052
;1345;6595;;1052
;1346;169;;1052
;1347;2327;;1054
;1348;2042;;1054
;1349;1310;;1056
;1350;8182;;1056
;1351;1058;;1056
;1352;7926;;1056
;1353;9487;;1058
;1354;1670;;1060
;1355;2528;;1060
;1356;5651;;1063
;1357;2258;;1064
;1358;7213;;1064
;1359;9860;;1065
;1360;5783;;1065
;1361;1286;;1065
;1362;2742;;1066
;1363;8610;;1067
;1364;4472;;1068
;1365;7128;;1069
;1366;8434;;1069
;1367;5841;;1070
;1368;718;;1071
;1369;3503;;1071
;1370;4867;;1071
;1371;4865;;1072
;1372;938;;1072
;1373;1881;;1073
;1374;9257;;1073
;1375;2750;;1074
;1376;8614;;1074
;1377;8598;;1075
;1378;8458;;1077
;1379;2661;;1078
;1380;6063;;1080
;1381;2756;;1080
;1382;807;;1080
;1383;278;;1080
;1384;9489;;1081
;1385;9435;;1082
;1386;6365;;1082
;1387;2075;;1082
;1388;7586;;1083
;1389;1386;;1084
;1390;7833;;1085
;1391;8360;;1085
;1392;3330;;1086
;1393;6048;;1088
;1394;8928;;1088
;1395;9492;;1089
;1396;2433;;1090
;1397;3840;;1091
;1398;6766;;1094
;1399;1735;;1094
;1400;9810;;1094
;1401;1599;;1096
;1402;1837;;1098
;1403;1892;;1098
;1404;1982;;1098
;1405;7328;;1098
;1406;9352;;1098
;1407;1369;;1099
;1408;1244;;1099
;1409;1794;;1100
;1410;6608;;1100
;1411;9252;;1101
;1412;1647;;1102
;1413;7432;;1103
;1414;9535;;1104
;1415;7208;;1105
;1416;3264;;1105
;1417;3497;;1106
;1418;3243;;1107
;1419;7649;;1108
;1420;2015;;1109
;1421;6841;;1109
;1422;189;;1110
;1423;6100;;1111
;1424;9812;;1111
;1425;648;;1111
;1426;9523;;1113
;1427;9851;;1113
;1428;4474;;1115
;1429;8633;;1115
;1430;9891;;1115
;1431;7200;;1118
;1432;9854;;1119
;1433;9990;;1119
;1434;5697;;1119
;1435;4919;;1121
;1436;7780;;1122
;1437;2578;;1124
;1438;2931;;1124
;1439;2544;;1124
;1440;3340;;1126
;1441;3487;;1127
;1442;899;;1127
;1443;2525;;1127
;1444;8483;;1128
;1445;5538;;1129
;1446;7492;;1131
;1447;6193;;1131
;1448;8252;;1132
;1449;5011;;1134
;1450;1560;;1135
;1451;5834;;1135
;1452;1840;;1135
;1453;1497;;1136
;1454;2785;;1136
;1455;8529;;1137
;1456;1540;;1137
;1457;8805;;1138
;1458;8791;;1139
;1459;3392;;1142
;1460;3210;;1143
;1461;3549;;1143
;1462;1578;;1146
;1463;6979;;1146
;1464;971;;1146
;1465;9277;;1148
;1466;73;;1149
;1467;193;;1149
;1468;1620;;1149
;1469;1497;;1150
;1470;3826;;1151
;1471;1276;;1153
;1472;9790;;1153
;1473;6582;;1153
;1474;3578;;1154
;1475;1159;;1154
;1476;418;;1155
;1477;6489;;1155
;1478;159;;1156
;1479;3449;;1156
;1480;2924;;1156
;1481;9072;;1157
;1482;380;;1157
;1483;7008;;1158
;1484;7967;;1159
